"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Limaylla-Lunarejo M.; Condori-Fernandez N.; Rodríguez Luaces M.; Karras O.","Limaylla-Lunarejo, M. (57949429300); Condori-Fernandez, N. (6507361130); Rodríguez Luaces, M. (8694723200); Karras, O. (57188731122)","57949429300; 6507361130; 8694723200; 57188731122","Improving the Multi-Class Classification of Non-Functional Requirements in Spanish: A Study of Dataset Balancing and Performance","2026","Empirical Software Engineering","31","1","6","","","0","10.1007/s10664-025-10736-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020676643&doi=10.1007%2Fs10664-025-10736-9&partnerID=40&md5=40e82575b971bc680e0dace60a655256","Context: In recent years, the multi-class classification of non-functional requirements has seen improvements through the use of Machine Learning algorithms. However, challenges such as data scarcity and class imbalance persist, particularly for languages other than English, such as Spanish. Objective: This study aims to analyze the performance metrics of Machine Learning algorithms for classifying non-functional requirements translated into and originally written in Spanish. It evaluates the effectiveness of dataset balancing techniques and conducts cross-dataset validation to assess the generalizability of the models. Method: A dataset balancing process was conducted using a combination of oversampling and undersampling techniques. Six algorithms were trained in two experiments using a hyperparameter tuning process, employing two different datasets: PROMISE_exp_translated and the newly PROMISE_exp_balanced. The best-performing models were further tested on unseen data to evaluate their generalizability. Results: Logistic Regression and Naive Bayes demonstrated superior performance on the translated dataset, achieving f1-scores of 82% and 81%, respectively. Although overall performance decreased on the balanced dataset, specific underrepresented classes such as Portability and Fault Tolerance benefited from the balancing process. Conclusion: Shallow Machine Learning algorithms are effective for classifying Spanish non-functional requirements, particularly when addressing data imbalance. The study highlights the importance of dataset balancing in improving classification performance for specific classes and provides insights into the challenges of generalizing models across datasets. © The Author(s) 2025.","ChatGPT prompt; Dataset balancing; Multi-class classification; Non-functional requirement; Spanish language","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105020676643"
"Bozyigit F.; Bardakci T.; Khalilipour A.; Challenger M.; Ramackers G.; Babur Ö.; Chaudron M.R.V.","Bozyigit, Fatma (57063298500); Bardakci, Tolgahan (59123583300); Khalilipour, Alireza (57192434385); Challenger, Moharram (55910368200); Ramackers, Guus (6507356363); Babur, Önder (55949449000); Chaudron, Michel R. V. (6602727769)","57063298500; 59123583300; 57192434385; 55910368200; 6507356363; 55949449000; 6602727769","Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools","2024","Software and Systems Modeling","23","6","","1493","1511","13","10.1007/s10270-024-01176-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192837407&doi=10.1007%2Fs10270-024-01176-y&partnerID=40&md5=d0d8ff794c1d98e8dec215e4cff17c3d","Software requirements specification describes users’ needs and expectations on some target system. Requirements documents are typically represented by unstructured natural language text. Such texts are the basis for the various subsequent activities in software development, such as software analysis and design. As part of software analysis, domain models are made that describe the key concepts and relations between them. Since the analysis process is performed manually by business analysts, it is time-consuming and may introduce mistakes. Recently, researchers have worked toward automating the synthesis of domain models from textual software requirements. Current studies on this topic have limitations in terms of the volume and heterogeneity of experimental datasets. To remedy this, we provide a curated dataset of software requirements to be utilized as a benchmark by algorithms that transform textual requirements documents into domain models. We present a detailed evaluation of two text-to-model approaches: one based on a large-language model (ChatGPT) and one building on grammatical rules (txt2Model). Our evaluation reveals that both tools yield promising results with relatively high F-scores for modeling the classes, attributes, methods, and relationships, with txt2Model performing better than ChatGPT on average. Both tools have relatively lower performance and high variance when it comes to the relation types. We believe our dataset and experimental evaluation pave to way to advance the field of automated model generation from requirements. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.","Benchmark dataset; Software functional requirements; Software models; Text-to-model transformation","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85192837407"
"Davis D.; Milanova M.","Davis, Daniel (59906480300); Milanova, Mariofanna (7003785945)","59906480300; 7003785945","Large Language Models for Classification of Functional and Nonfunctional Requirements","2025","Lecture Notes in Computer Science","15618 LNCS","","","117","126","0","10.1007/978-3-031-88220-3_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005655442&doi=10.1007%2F978-3-031-88220-3_8&partnerID=40&md5=a6220242423664bcb30cade2d32a1dc8","The classification of software requirements into functional and nonfunctional is an important part of software engineering. Software engineers need to understand what the function of the software is to model the system and verify its viability as described by the requirements. The classification of requirements using Machine Learning and Artificial Intelligence has been done many times in the past decades with notably high success. Of course, these classification models are not perfect, and an analyst or software engineer will likely still need to spend time perfecting the classifications. In recent years there have been significant advancements in Artificial Intelligence in the form of Large Language Models. These Large Language models can be used to classify requirements. In this research we fine-tuned a Large Language Model to classify functional and nonfunctional requirements and compare it to some base-line Machine Learning Models, Randomforest, XGboost, and Multi-layer Perceptron, trained for the same task. The results show the Large Language Model has a recall of “1” and an accuracy of 98.8% if trained with requirements that have some connectivity between the requirements. Information about connectivity is included in the dataset used to fine-tune the model. This type of training with connectivity may only be possible with Large Language Models. The method of training including prompts, and the fine-tuned model are the primary contributions of this research. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Artificial Intelligence; Large Language Models; Machine Learning; Software Engineering","Conference paper","Final","","Scopus","2-s2.0-105005655442"
"Weber M.; Biller M.; Böttcher T.P.; Hein A.; Krcmar H.","Weber, Michael (57222157472); Biller, Martin (58509317100); Böttcher, Timo Phillip (57314482900); Hein, Andreas (57189636786); Krcmar, Helmut (6603243872)","57222157472; 58509317100; 57314482900; 57189636786; 6603243872","Toward Procedural AI Governance: Designing a Phase Model for AI Development Projects","2025","Lecture Notes in Computer Science","15704 LNCS","","","81","94","0","10.1007/978-3-031-93979-2_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008183164&doi=10.1007%2F978-3-031-93979-2_6&partnerID=40&md5=0bf7b1b4266b37bed260f9d5666aa5ca","Artificial intelligence (AI) offers transformative opportunities across industries, but poses new challenges related to fairness, safety, and compliance. Despite the urgent need for governing AI development projects systematically, there is a research gap regarding practical frameworks. Established development frameworks, such as agile development or CRISP-ML(Q), either lack AI-specific aspects or are incompatible with firms’ stringent governance needs. Therefore, we designed and evaluated a phase model to govern and manage AI development projects, drawing on extant literature and close collaboration with AUDI AG, a leading car manufacturer. The resulting artifact defines six incremental phases to support procedural governance and specifies key activities and project checkpoints. The study contributes a rigorously developed artifact and additional recommendations to support firm-specific adaptations of the model. The results provide actionable guidance for practitioners to foster business/AI alignment, formalize responsible AI practices, and mitigate project risks. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","design science; governance; Phase model; responsible AI","Conference paper","Final","","Scopus","2-s2.0-105008183164"
"Hassani S.; Sabetzadeh M.; Amyot D.","Hassani, Shabnam (58115565500); Sabetzadeh, Mehrdad (9133712900); Amyot, Daniel (6602186776)","58115565500; 9133712900; 6602186776","An empirical study on LLM-based classification of requirements-related provisions in food-safety regulations","2025","Empirical Software Engineering","30","3","72","","","10","10.1007/s10664-025-10619-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218632450&doi=10.1007%2Fs10664-025-10619-z&partnerID=40&md5=0f2cd868923a454684c1758f91cc44d5","As Industry 4.0 transforms the food industry, the role of software in achieving compliance with food-safety regulations is becoming increasingly critical. Food-safety regulations, like those in many legal domains, have largely been articulated in a technology-independent manner to ensure their longevity and broad applicability. However, this approach leaves a gap between the regulations and the modern systems and software increasingly used to implement them. In this article, we pursue two main goals. First, we conduct a Grounded Theory study of food-safety regulations and develop a conceptual characterization of food-safety concepts that closely relate to systems and software requirements. Second, we examine the effectiveness of two families of large language models (LLMs) – BERT and GPT – in automatically classifying legal provisions based on requirements-related food-safety concepts. Our results show that: (a) when fine-tuned, the accuracy differences between the best-performing models in the BERT and GPT families are relatively small. Nevertheless, the most powerful model in our experiments, GPT-4o, still achieves the highest accuracy, with an average Precision of 89% and an average Recall of 87%; (b) few-shot learning with GPT-4o increases Recall to 97% but decreases Precision to 65%, suggesting a trade-off between fine-tuning and few-shot learning; (c) despite our training examples being drawn exclusively from Canadian regulations, LLM-based classification performs consistently well on test provisions from the US, indicating a degree of generalizability across regulatory jurisdictions; and (d) for our classification task, LLMs significantly outperform simpler baselines constructed using long short-term memory (LSTM) networks and automatic keyword extraction. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Classification; Food safety; Internet of things; Large language models (LLMs); Legal requirements; Requirements engineering","Article","Final","","Scopus","2-s2.0-85218632450"
"Arbaz A.; Fan H.; Ding J.; Qiu M.; Feng Y.","Arbaz, Abdul (59252828000); Fan, Heng (56085688000); Ding, Junhua (7402608357); Qiu, Meikang (57216130886); Feng, Yunhe (57195902826)","59252828000; 56085688000; 7402608357; 57216130886; 57195902826","GenFlowchart: Parsing and Understanding Flowchart Using Generative AI","2024","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14884 LNAI","","","99","111","3","10.1007/978-981-97-5492-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200717348&doi=10.1007%2F978-981-97-5492-2_8&partnerID=40&md5=e3a572f7b5cf0854fe9190e851f38174","Flowcharts serve as integral visual aids, encapsulating both logical flows and specific component-level information in a manner easily interpretable by humans. However, automated parsing of these diagrams poses a significant challenge due to their intricate logical structure and text-rich nature. In this paper, we introduce GenFlowchart, a novel framework that employs generative AI to enhance the parsing and understanding of flowcharts. First, a cutting-edge segmentation model is deployed to delineate the various components and geometrical shapes within the flowchart using the Segment Anything Model (SAM). Second, Optical Character Recognition (OCR) is utilized to extract the text residing in each component for deeper functional comprehension. Finally, we formulate prompts using prompt engineering for the generative AI to integrate the segmented results and extracted text, thereby reconstructing the flowchart’s workflows. To validate the effectiveness of GenFlowchart, we evaluate its performance across multiple flowcharts and benchmark it against several baseline approaches. GenFlowchart is available at https://github.com/ResponsibleAILab/GenFlowchart. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.","AI-Generated Content; Flowchart; GenAI; Generative AI; Image Segmentation; OCR","Conference paper","Final","","Scopus","2-s2.0-85200717348"
"Pan X.; Ossenbruggen J.V.; de Boer V.; Huang Z.","Pan, Xueli (57423362000); Ossenbruggen, Jacco van (59168044200); de Boer, Victor (55418823700); Huang, Zhisheng (7406219483)","57423362000; 59168044200; 55418823700; 7406219483","A RAG Approach for Generating Competency Questions in Ontology Engineering","2025","Communications in Computer and Information Science","2331 CCIS","","","70","81","3","10.1007/978-3-031-81974-2_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013955848&doi=10.1007%2F978-3-031-81974-2_6&partnerID=40&md5=9076217b9a4a337e38d337f34bfddfc2","Competency question (CQ) formulation is central to several ontology development and evaluation methodologies. Traditionally, the task of crafting these competency questions heavily relies on the effort of domain experts and knowledge engineers which is often time-consuming and labor-intensive. With the emergence of Large Language Models (LLMs), there arises the possibility to automate and enhance this process. Unlike other similar works which use existing ontologies or knowledge graphs as input to LLMs, we present a retrieval-augmented generation (RAG) approach that uses LLMs for the automatic generation of CQs given a set of scientific papers considered to be a domain knowledge base. We investigate its performance and specifically, we study the impact of different number of papers to the RAG and different temperature setting of the LLM. We conduct experiments using GPT-4 on two domain ontology engineering tasks and compare results against ground-truth CQs constructed by domain experts. Empirical assessments on the results, utilizing evaluation metrics (precision and consistency), reveal that compared to zero-shot prompting, adding relevant domain knowledge to the RAG improves the performance of LLMs on generating CQs for concrete ontology engineering tasks. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Competency Questions; LLMs; Ontology Engineering","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105013955848"
"Chen N.-S.","Chen, Nian-Shing (7401912239)","7401912239","Harnessing Large Language Models for Education: A Framework for Designing Effective Pedagogical AI Agents","2025","E-Learning and Enhancing Soft Skills: Contemporary Models of Education in the Era of Artificial Intelligence","","","","13","35","1","10.1007/978-3-031-82243-8_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005044113&doi=10.1007%2F978-3-031-82243-8_2&partnerID=40&md5=ea90248f9f1fade4e3cc09ee186f6d25","This paper examines the transformative potential of pedagogical AI agents in education, focusing on their ability to enhance learning through personal-ized experiences, real-time feedback, and adaptive learning paths enabled by large language models (LLMs). It begins by exploring key approaches for deploying LLMs in educational settings, such as re-training, fine-tuning, and retrieval-augmented generation, while also debunking common myths surrounding AI chatbots and their effectiveness. The paper then addresses the challenges that educators and students face when integrating AI tools into teaching and learning processes, emphasizing the importance of balancing technical sophistication with accessibility. Strategies for designing effective pedagogical AI agents are proposed, including the use of structured templates, collaborative models, and advanced techniques like Chain-of-Thought reasoning and multi-agent systems to enhance AI capabilities. A practical example of a pedagogical AI agent designed to teach sequential order words provides a practical demonstration of how these design principles can be applied to create meaningful and engaging learning experiences. The paper concludes by advocating for a collaborative approach between educators and developers to ensure that AI tools are thoughtfully integrated into educational environments, supporting dynamic, inclusive, and effective learning that promotes critical thinking and lifelong learning. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025, corrected publication 2025.","Agentic design framework; Human and AI teacher collaboration; Large language model; Pedagogical AI agent; Personalized learning","Book chapter","Final","","Scopus","2-s2.0-105005044113"
"Guo J.L.C.; Steghöfer J.P.; Vogelsang A.; Cleland-Huang J.","Guo, Jin L.C. (57203289380); Steghöfer, Jan-Philipp (25641778800); Vogelsang, Andreas (56254083200); Cleland-Huang, Jane (6506741859)","57203289380; 25641778800; 56254083200; 6506741859","Natural Language Processing for Requirements Traceability","2025","Handbook on Natural Language Processing for Requirements Engineering","","","","89","116","2","10.1007/978-3-031-73143-3_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004612063&doi=10.1007%2F978-3-031-73143-3_4&partnerID=40&md5=de2943628f215f01eaf0467ba0691ba4","Traceability, the ability to trace relevant software artifacts to support reasoning about the quality of the software and its development process, plays a crucial role in requirements and software engineering, particularly for safety-critical systems. In this chapter, we provide a comprehensive overview of the representative tasks in requirement traceability for which natural language processing (NLP) and related techniques have made considerable progress in the past decade. We first present the definition of traceability in the context of requirements and the overall engineering process, as well as other important concepts related to traceability tasks. Then, we discuss two tasks in detail, including trace link recovery and trace link maintenance. We also introduce two other related tasks concerning when trace links are used in practical contexts. For each task, we explain the characteristics of the task, how it can be approached through NLP techniques and how to design and conduct the experiment to demonstrate the performance of the NLP techniques. We further discuss practical considerations on how to effectively apply NLP techniques and assess their effectiveness regarding the dataset collection, metrics selection and the role of humans when evaluating the NLP approaches. Overall, this chapter prepares the readers with the fundamental knowledge of designing automated traceability solutions enabled by NLP in practice. © TheEditor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Guidelines; Natural language processing; NLP; Requirements engineering; Requirements traceability; Trace link maintenance; Trace link recovery","Book chapter","Final","","Scopus","2-s2.0-105004612063"
"Mastoras V.; Vassiliades A.; Rousi M.; Diplaris S.; Mavropoulos T.; Gialampoukidis I.; Vrochidis S.; Kompatsiaris I.","Mastoras, Valadis (58704282800); Vassiliades, Alexandros (57216896352); Rousi, Maria (57203396204); Diplaris, Sotiris (13409078900); Mavropoulos, Thanassis (57204393013); Gialampoukidis, Ilias (55863740200); Vrochidis, Stefanos (23052810300); Kompatsiaris, Ioannis (7004756014)","58704282800; 57216896352; 57203396204; 13409078900; 57204393013; 55863740200; 23052810300; 7004756014","Towards a Framework for Seismic Data","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","14382 LNCS","","","106","119","1","10.1007/978-3-031-47745-4_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177467051&doi=10.1007%2F978-3-031-47745-4_9&partnerID=40&md5=e63d11bc61abbe3e81b193e350e1af01","Over the past decade, Knowledge Graphs (KGs) gained significant attention as a powerful method for knowledge representation. Driven by increasing interest, a paradigm shift has occurred, where the technology of KGs has transitioned from the research domain to the industry and public sector, with companies and organizations increasingly representing their data as Linked Open Data, gaining in that way significant traction for this technology. This paper focuses on KGs in the context of environmental challenges. More specifically, this work concerns KGs that contain seismic event data, such as location, timestamp, magnitude, depth, target date, as well as images before and after the event occurrence. Moreover, a Natural Language Processing (NLP) module is integrated to enhance the KG. That module enables users to query for seismic events in a free-text manner, before addressing them with a relevant response through a dedicated Information Retrieval (IR) component. The KG was constructed with data retrieved from the Instituto Nazionale di Geofisica e Vulcanologia, a rich resource that comes with earthquake-related information, such as magnitude, depth, occurrence location, and timestamp. Additionally, public APIs from the Copernicus Open Access Data Hub and ONDA DIAS are leveraged to provide access to sentinel data, such as images of the event location before and after its occurrence. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.","Information Retrieval; Knowledge Graph; Natural Language Processing; Semantic Framework","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85177467051"
"Biskup J.; Convent B.","Biskup, Joachim (7003568714); Convent, Bernhard (57190042361)","7003568714; 57190042361","Towards a schema design methodology for deductive databases","1989","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","364 LNCS","","","37","52","3","10.1007/3-540-51251-9_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957902386&doi=10.1007%2F3-540-51251-9_4&partnerID=40&md5=32b57ee0f47033a9c090b9f4198dc5f0","The design theory of database schemas deals with the possibilities of representing parts of the real world within a data model such that information on the real world can simply and efficiently be obtained just by looking at its representation, i.e., just by querying the database. In this paper, we try to direct the reader's attention to the schema design problem for deductive (or logic oriented) databases. In order to provide a formal framework for a thorough investigation of this problem we present a simple logic oriented data model and carefully develop a general design methodology for it, based on schema properties, corresponding schema transformations and a notion of query faithfulness. Schema properties are meant to be formalizations of desirable aspects of ""good"" schemas, while schema transformations are used in order to achieve these properties by restructuring and improving an initial design. Of course the final schema should somehow support the initial design. This requirement is formalized by our notion of query faithfulness. © 1989, Springer-Verlag.","","Conference paper","Final","","Scopus","2-s2.0-84957902386"
"Hu W.; Chan C.K.Y.","Hu, Wenjie (58299939500); Chan, Cecilia Ka Yuk (55086149300)","58299939500; 55086149300","From user needs to AI solutions: a human-centered design approach for AI-powered virtual teamwork competency training","2025","International Journal of Educational Technology in Higher Education","22","1","52","","","1","10.1186/s41239-025-00551-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015213079&doi=10.1186%2Fs41239-025-00551-z&partnerID=40&md5=c99ffb0d2a393938a30d653ad3161bae","This study develops a human-centered design (HCD) approach to create a GenAI trainer that addresses critical gaps in virtual teamwork training for engineering students. While virtual teamwork competency is increasingly essential, current programs often prioritize task completion over competency development. Leveraging generative AI's capabilities for personalized interaction, scenario simulation, and tailored feedback, we employ a three-phase HCD approach: (1) identifying unmet user needs through stakeholder interviews, revealing key challenges in instructional support, training formats, feedback mechanisms, and teamwork awareness; (2) co-designing solutions with instructors and students to create an AI trainer that combines Socratic questioning and scenario-based learning; and (3) testing the system and obtaining feedback from engineering students. Results demonstrate significant improvements across multiple dimensions: transforming passive learning into active experiences, delivering real-time actionable feedback, enhancing conceptual understanding and awareness of virtual teamwork, and developing practical virtual teamwork skills through authentic scenarios. Participant feedback also identified future improvements for enhanced personalization and immersion. This study contributes both theoretically and practically by illustrating how HCD can effectively integrate AI capabilities with pedagogical needs, while providing a replicable model for developing competency-based training tools that balance technological innovation with educational effectiveness. © The Author(s) 2025.","Generative AI; Human-centered design; Virtual teamwork competency","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105015213079"
"Mehder Konan Ş.; Aydemir F.B.; Özgövde A.","Mehder Konan, Şevval (59739548100); Aydemir, Fatma Başak (55880322200); Özgövde, Atay (24332505100)","59739548100; 55880322200; 24332505100","Requirements Elicitation Workshops Using the Six Thinking Hats Creativity Technique","2025","Lecture Notes in Computer Science","15588 LNCS","","","317","329","1","10.1007/978-3-031-88531-0_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002719810&doi=10.1007%2F978-3-031-88531-0_23&partnerID=40&md5=2fcc5f3ffad1f99be50cc9efb203fe2a","[Context and Motivation] Communication and collaboration among stakeholders are crucial in the requirements elicitation process, as they help create complete, high-quality, and creative requirements that align closely with stakeholder needs and project goals. [Question/ problem] One challenge in requirements elicitation is that stakeholders often face uncertainty in articulating their needs, as they may not fully realize what they know or genuinely want from the system. This issue is compounded when stakeholders come from diverse backgrounds, leading to communication barriers that make it difficult to co-create a project. [Principal ideas] Utilizing the Six Thinking Hats method is a beneficial approach to address the challenges in stakeholder communication and collaboration. Facilitating “parallel thinking” can help eliminate confusion and enhance engagement while fostering stakeholder creativity. [Contributions] This work presents our experience conducting requirements elicitation workshops using the Six Thinking Hats method, highlighting the challenges encountered and offering practical insights that can benefit both the scientific community and industry practitioners. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","creativity; requirements elicitation; requirements workshop; six thinking hats","Conference paper","Final","","Scopus","2-s2.0-105002719810"
"Luitel D.; Hassani S.; Sabetzadeh M.","Luitel, Dipeeka (58115942900); Hassani, Shabnam (58115565500); Sabetzadeh, Mehrdad (9133712900)","58115942900; 58115565500; 9133712900","Improving requirements completeness: automated assistance through large language models","2024","Requirements Engineering","29","1","","73","95","31","10.1007/s00766-024-00416-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188521670&doi=10.1007%2Fs00766-024-00416-3&partnerID=40&md5=8101c7dff3c82b77b530e25bbdf901db","Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores this question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask, striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions. Our second contribution involves designing a machine learning-based filter to post-process BERT’s predictions and further reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings indicate that: (1) BERT’s predictions effectively highlight terminology that is missing from requirements, (2) BERT outperforms simpler baselines in identifying relevant yet missing terminology, and (3) our filter reduces noise in the predictions, enhancing BERT’s effectiveness for completeness checking of requirements. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","BERT; Large language models (LLMs); Machine learning (ML); Natural language processing (NLP); Requirements completeness","Article","Final","","Scopus","2-s2.0-85188521670"
"Bedoya M.; Palacios S.; Díaz-López D.; Laverde E.; Nespoli P.","Bedoya, Martin (58561040900); Palacios, Sara (58561345500); Díaz-López, Daniel (55951601000); Laverde, Estefania (58561740700); Nespoli, Pantaleone (57199697080)","58561040900; 58561345500; 55951601000; 58561740700; 57199697080","Enhancing DevSecOps practice with Large Language Models and Security Chaos Engineering","2024","International Journal of Information Security","23","6","","3765","3788","10","10.1007/s10207-024-00909-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205722317&doi=10.1007%2Fs10207-024-00909-w&partnerID=40&md5=12a9249014cf09be5e19a78150a97c8b","Recently, the DevSecOps practice has improved companies’ agile production of secure software, reducing problems and improving return on investment. However, overreliance on security tools and traditional security techniques can facilitate the implementation of vulnerabilities in different stages of the software lifecycle. Thus, this paper proposes the integration of a Large Language Model to help automate threat discovery at the design stage and Security Chaos Engineering to support the identification of security flaws that may be undetected by security tools. A specific use case is described to demonstrate how our proposal can be applied to a retail company that has the business need to produce rapidly secure software. © The Author(s) 2024.","Attack-defense trees; Cloud Computing; DevSecOps; Language Large models; Security Chaos Engineering; Software security","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205722317"
"Hoshino H.; Yamamoto Y.; Sobue S.-I.; Yonekura K.; Ogawa M.; Iwana Y.; Matsui K.; Okumura H.; Kato M.","Hoshino, Hirokazu (35169649000); Yamamoto, Yukio (55476297000); Sobue, Shin-Ichi (7006304398); Yonekura, Katsuhide (35172285700); Ogawa, Mina (7404569426); Iwana, Yasunori (36704951200); Matsui, Kai (58331088800); Okumura, Hayato (58374505100); Kato, Manabu (22947878200)","35169649000; 55476297000; 7006304398; 35172285700; 7404569426; 36704951200; 58331088800; 58374505100; 22947878200","Data processing at KAGUYA operation and analysis center","2010","Space Science Reviews","154","1-4","","317","342","6","10.1007/s11214-010-9670-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650169285&doi=10.1007%2Fs11214-010-9670-y&partnerID=40&md5=cdaf3f2b341bfd67e15b4c215b1a983a","The functions of KAGUYA(SELENE) Operation and Analysis Center (SOAC) are to operate three satellites: the main orbiter KAGUYA and two small satellites, Relay satellite OKINA and VRAD (VLBI (Very Long Baseline Interferometry) RADio source) satellite OUNA; and to process, archive and provide mission data. SOAC has two main functional areas, ""Tracking and Control system"" and ""Mission Operation and Data Analysis system."" The former is for operational planning of bus and mission instruments including satellite navigation, and for the implementation of those plans and for the evaluation of satellite conditions. The latter is the system that processes, archives and provides mission data, and which principal investigators use to generate higher-level data products. Data up to the end of the operation in June 2009 have been processed and the total amount of Level-2 data products reaches about 50 TB. The data products have been released to the public since November 2009. © 2010 Springer Science+Business Media B.V.","Data archiving; Data processing; Data products; Ground systems; JAXA; KAGUYA(SELENE); Mission operations; Moon; Planetary Data System","Article","Final","","Scopus","2-s2.0-78650169285"
"Chen K.; Wang T.; Ni M.; Cheng L.; Wang Z.; Chen C.","Chen, Kezhou (57387678200); Wang, Tao (59930523800); Ni, Mingzhe (58816364000); Cheng, Lianglun (7403337601); Wang, Zhuowei (35212011100); Chen, Chong (59049859300)","57387678200; 59930523800; 58816364000; 7403337601; 35212011100; 59049859300","Collaborative LLM agents for flexible software development of intelligent industrial robot control systems","2025","Complex and Intelligent Systems","11","12","476","","","0","10.1007/s40747-025-02051-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019546806&doi=10.1007%2Fs40747-025-02051-z&partnerID=40&md5=69de04db2db87713c66f228b259b9ad8","Software plays a crucial role in robot control systems, and its efficient, flexible development is essential for production. Such software must be customized to specific production processes, requiring developers with specialized expertise in these areas—the high development threshold results in reduced efficiency and increased costs. Recently, significant progress has been made in automated problem-solving through societies of agents based on large language models (LLMs). To automate software development for industrial robot control systems, this paper introduces an Industrial Robot Control Software Auto-Development (IRCSAD) framework with multi-agent collaboration, and a Low-code Industrial Software Platform (LISP) for validating IRCSAD-developed software. IRCSAD automates software development and iterative optimization of prompts through the collaboration of multiple LLM-based agents. This work also proposes a software testing methodology for robot control systems based on reliability assessment. An experimental study that develops software for the robot control system for assembly, sorting, and inspection tasks is implemented. The results show that collaboration with LISP enhances IRCSAD's ability to solve complex problems in the development process, saves development costs, and improves development efficiency. © The Author(s) 2025.","Flexible manufacturing systems; Industrial robot; Large language model agent; Software development","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105019546806"
